"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C4";"C_0603_1608Metric";3;"100nF";;;
2;"C3,C6";"C_1206_3216Metric";2;"10μF";;;
3;"U2";"Texas_RGW0020A_VQFN-20-1EP_5x5mm_P0.65mm_EP3.15x3.15mm_ThermalVias";1;"TPS7A3301RGW";;;
4;"C7";"C_0603_1608Metric";1;"1μF";;;
5;"Cf1";"C_0603_1608Metric";1;"1pF";;;
6;"U1";"WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm";1;"LMH6629SD/NOPB";;;
7;"R4,R5";"R_0603_1608Metric";2;"10KOhm";;;
8;"Rf1";"R_0805_2012Metric";1;"10MOhm";;;
9;"C5";"C_0603_1608Metric";1;"1nF";;;
10;"J2,J1";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
11;"R3";"R_0603_1608Metric";1;"50Ohm";;;
12;"D1";"SOT-23";1;"HSMS-2820";;;
13;"L1";"L_0805_2012Metric";1;"10μH";;;
14;"R2";"R_0603_1608Metric";1;"1MOhm";;;
15;"R1";"R_0603_1608Metric";1;"1KOhm";;;
